districtid,timeid,cases
CT_Raipur,9,5558
CT_Raipur,10,-297
CT_Raipur,11,2544
CT_Raipur,12,45740
CT_Raipur,13,49343
CT_Raipur,14,4637
CT_Raipur,15,611
CT_Raipur,16,331
CT_Rajnandgaon,1,1
CT_Rajnandgaon,2,78
CT_Rajnandgaon,3,306
CT_Rajnandgaon,4,734
CT_Rajnandgaon,5,4233
CT_Rajnandgaon,6,4574
CT_Rajnandgaon,7,3394
CT_Rajnandgaon,8,3537
CT_Rajnandgaon,9,2436
CT_Rajnandgaon,10,493
CT_Rajnandgaon,11,395
CT_Rajnandgaon,12,13917
CT_Rajnandgaon,13,20060
CT_Rajnandgaon,14,1634
CT_Rajnandgaon,15,140
CT_Rajnandgaon,16,80
DL_Delhi,1,8470
DL_Delhi,2,32712
DL_Delhi,3,74164
DL_Delhi,4,35306
DL_Delhi,5,70881
DL_Delhi,6,96015
DL_Delhi,7,164622
DL_Delhi,8,126660
DL_Delhi,9,22759
DL_Delhi,10,5357
DL_Delhi,11,6750
DL_Delhi,12,123742
DL_Delhi,13,613543
DL_Delhi,14,50289
DL_Delhi,15,4011
DL_Delhi,16,1757
GA_Unknown,1,15
GA_Unknown,2,549
GA_Unknown,3,2189
GA_Unknown,4,8217
GA_Unknown,5,13928
GA_Unknown,6,14540
GA_Unknown,7,6407
GA_Unknown,8,3629
GA_Unknown,9,2708
GA_Unknown,10,2053
GA_Unknown,11,1682
GA_Unknown,12,7898
GA_Unknown,13,68770
GA_Unknown,14,30136
GA_Unknown,15,6494
GA_Unknown,16,3216
GJ_Ahmedabad,1,6910
GJ_Ahmedabad,2,9730
GJ_Ahmedabad,3,6786
GJ_Ahmedabad,4,5252
GJ_Ahmedabad,5,5222
GJ_Ahmedabad,6,5569
GJ_Ahmedabad,7,5655
GJ_Ahmedabad,8,9084
GJ_Ahmedabad,9,5322
GJ_Ahmedabad,10,2257
GJ_Ahmedabad,11,2849
GJ_Ahmedabad,12,25004
GJ_Ahmedabad,13,129274
GJ_Ahmedabad,14,18250
GJ_Ahmedabad,15,702
GJ_Ahmedabad,16,178
GJ_Anand,1,82
GJ_Anand,2,46
GJ_Anand,3,189
GJ_Anand,4,295
GJ_Anand,5,323
GJ_Anand,6,316
GJ_Anand,7,337
GJ_Anand,8,481
GJ_Anand,9,342
GJ_Anand,10,167
GJ_Anand,11,249
GJ_Anand,12,696
GJ_Anand,13,3839
GJ_Anand,14,2176
GJ_Anand,15,64
GJ_Anand,16,22
GJ_Aravalli,1,76
GJ_Aravalli,2,68
GJ_Aravalli,3,110
GJ_Aravalli,4,91
GJ_Aravalli,5,154
GJ_Aravalli,6,162
GJ_Aravalli,7,199
GJ_Aravalli,8,219
GJ_Aravalli,9,108
GJ_Aravalli,10,23
GJ_Aravalli,11,37
GJ_Aravalli,12,192
GJ_Aravalli,13,2749
GJ_Aravalli,14,983
GJ_Aravalli,15,12
GJ_Aravalli,16,1
GJ_Banaskantha,1,83
GJ_Banaskantha,2,68
GJ_Banaskantha,3,218
GJ_Banaskantha,4,468
GJ_Banaskantha,5,584
GJ_Banaskantha,6,993
GJ_Banaskantha,7,778
GJ_Banaskantha,8,1112
GJ_Banaskantha,9,360
GJ_Banaskantha,10,39
GJ_Banaskantha,11,40
GJ_Banaskantha,12,793
GJ_Banaskantha,13,6423
GJ_Banaskantha,14,1601
GJ_Banaskantha,15,63
GJ_Banaskantha,16,8
GJ_Bharuch,1,32
GJ_Bharuch,2,52
GJ_Bharuch,3,374
GJ_Bharuch,4,695
GJ_Bharuch,5,724
GJ_Bharuch,6,710
