Node1,Node2
HR_fatehabad,HR_hisar
HR_fatehabad,HR_jind
HR_fatehabad,HR_sirsa
HR_fatehabad,PB_mansa
HR_fatehabad,PB_sangrur
HR_fatehabad,RJ_hanumangarh
HR_gurugram,HR_jhajjar
HR_gurugram,HR_nuh
HR_gurugram,HR_palwal
HR_gurugram,HR_rewari
HR_hisar,HR_jind
HR_hisar,HR_rohtak
HR_hisar,RJ_hanumangarh
HR_jhajjar,HR_mahendragarh
HR_jhajjar,HR_rewari
HR_jhajjar,HR_rohtak
HR_jhajjar,HR_sonipat
HR_jind,HR_kaithal
HR_jind,HR_karnal
HR_jind,HR_panipat
HR_jind,HR_rohtak
HR_jind,HR_sonipat
HR_jind,PB_patiala
HR_jind,PB_sangrur
HR_kaithal,HR_karnal
HR_kaithal,HR_kurukshetra
HR_kaithal,PB_patiala
HR_karnal,HR_kurukshetra
HR_karnal,HR_panipat
HR_karnal,HR_yamunanagar
HR_karnal,UP_saharanpur
HR_karnal,UP_shamli
HR_kurukshetra,HR_yamunanagar
HR_kurukshetra,PB_patiala
HR_mahendragarh,HR_rewari
HR_mahendragarh,RJ_alwar
HR_mahendragarh,RJ_jaipur
HR_mahendragarh,RJ_jhunjhunu
HR_mahendragarh,RJ_sikar
HR_nuh,HR_palwal
HR_nuh,HR_rewari
HR_nuh,RJ_alwar
HR_nuh,RJ_bharatpur
HR_nuh,UP_mathura
HR_palwal,UP_aligarh
HR_palwal,UP_gautam buddha nagar
HR_palwal,UP_mathura
HR_panchkula,PB_s.a.s. nagar
HR_panipat,HR_sonipat
HR_panipat,UP_baghpat
HR_panipat,UP_shamli
HR_rewari,RJ_alwar
HR_rohtak,HR_sonipat
HR_sirsa,PB_bathinda
HR_sirsa,PB_mansa
HR_sirsa,PB_sri muktsar sahib
HR_sirsa,RJ_hanumangarh
HR_sonipat,UP_baghpat
HR_yamunanagar,UP_saharanpur
JH_bokaro,JH_dhanbad
JH_bokaro,JH_giridih
JH_bokaro,JH_hazaribagh
JH_bokaro,JH_ramgarh
JH_bokaro,WB_purulia
JH_chatra,JH_hazaribagh
JH_chatra,JH_latehar
JH_chatra,JH_palamu
JH_chatra,JH_ranchi
JH_deoghar,JH_dumka
JH_deoghar,JH_giridih
JH_deoghar,JH_jamtara
JH_dhanbad,JH_giridih
JH_dhanbad,JH_jamtara
JH_dhanbad,WB_paschim bardhaman
JH_dhanbad,WB_purulia
JH_dumka,JH_godda
JH_dumka,JH_jamtara
JH_dumka,JH_pakur
JH_dumka,WB_birbhum
JH_east singhbhum,JH_saraikela-kharsawan
JH_east singhbhum,OR_mayurbhanj
JH_east singhbhum,WB_jhargram
JH_east singhbhum,WB_purulia
JH_garhwa,JH_latehar
JH_garhwa,JH_palamu
JH_garhwa,UP_balrampur
JH_garhwa,UP_sonbhadra
JH_giridih,JH_hazaribagh
JH_giridih,JH_jamtara
JH_giridih,JH_koderma
JH_godda,JH_pakur
JH_godda,JH_sahibganj
JH_gumla,JH_khunti
JH_gumla,JH_latehar
JH_gumla,JH_lohardaga
JH_gumla,JH_ranchi
JH_gumla,JH_simdega
JH_gumla,UP_balrampur
JH_hazaribagh,JH_koderma
JH_hazaribagh,JH_ramgarh
JH_hazaribagh,JH_ranchi
JH_jamtara,WB_birbhum
JH_jamtara,WB_paschim bardhaman
JH_khunti,JH_ranchi
JH_khunti,JH_saraikela-kharsawan
JH_khunti,JH_simdega
JH_khunti,JH_west singhbhum
JH_latehar,JH_lohardaga
JH_latehar,JH_palamu
JH_latehar,JH_ranchi
