District_Key,State,District,mvacc,fvacc
BR_Buxar,Bihar,Buxar,270552.0,217329.0
BR_Darbhanga,Bihar,Darbhanga,590399.0,572378.0
BR_East Champaran,Bihar,East Champaran,778870.0,611107.0
BR_Gaya,Bihar,Gaya,616267.0,541968.0
BR_Gopalganj,Bihar,Gopalganj,367748.0,252090.0
BR_Jamui,Bihar,Jamui,238504.0,205994.0
BR_Jehanabad,Bihar,Jehanabad,172902.0,163183.0
BR_Kaimur,Bihar,Kaimur,214519.0,174601.0
BR_Katihar,Bihar,Katihar,376275.0,339811.0
BR_Khagaria,Bihar,Khagaria,212936.0,210518.0
BR_Kishanganj,Bihar,Kishanganj,211982.0,174667.0
BR_Lakhisarai,Bihar,Lakhisarai,130250.0,124672.0
BR_Madhepura,Bihar,Madhepura,247793.0,236010.0
BR_Madhubani,Bihar,Madhubani,561367.0,573304.0
BR_Munger,Bihar,Munger,241398.0,205020.0
BR_Muzaffarpur,Bihar,Muzaffarpur,681276.0,579695.0
BR_Nalanda,Bihar,Nalanda,485480.0,453948.0
BR_Nawada,Bihar,Nawada,297736.0,274069.0
BR_Patna,Bihar,Patna,1866339.0,1498920.0
BR_Purnia,Bihar,Purnia,517400.0,475219.0
BR_Rohtas,Bihar,Rohtas,438079.0,345039.0
BR_Saharsa,Bihar,Saharsa,255935.0,247236.0
BR_Samastipur,Bihar,Samastipur,584410.0,555366.0
BR_Saran,Bihar,Saran,667472.0,579317.0
BR_Sheikhpura,Bihar,Sheikhpura,101860.0,94493.0
BR_Sheohar,Bihar,Sheohar,103725.0,103499.0
BR_Sitamarhi,Bihar,Sitamarhi,422220.0,421547.0
BR_Siwan,Bihar,Siwan,608551.0,481125.0
BR_Supaul,Bihar,Supaul,278541.0,257142.0
BR_Vaishali,Bihar,Vaishali,483687.0,439163.0
BR_West Champaran,Bihar,West Champaran,517885.0,392183.0
CH_Chandigarh,Chandigarh,Chandigarh,557241.0,420544.0
CT_Balod,Chhattisgarh,Balod,210865.0,234071.0
CT_Baloda Bazar,Chhattisgarh,Baloda Bazar,214264.0,216550.0
CT_Balrampur,Chhattisgarh,Balrampur,123684.0,111025.0
CT_Bametara,Chhattisgarh,Bametara,111386.0,111920.0
CT_Bastar,Chhattisgarh,Bastar,174108.0,166414.0
CT_Bijapur,Chhattisgarh,Bijapur,63754.0,43756.0
